Model,Mean Dice,Std Dice,Mean IoU,Std IoU
10-image SAM+LoRA,0.6921,0.1183,0.5406,0.1275
20-image SAM+LoRA,0.7534,0.0734,0.6097,0.0899
50-image SAM+LoRA,0.7938,0.0766,0.6644,0.0992
vanilla_sam,0.0022,0.0154,0.0012,0.0083
U-Net (10 images),0.0575,0.1426,0.0366,0.0962
U-Net (20 images),0.0857,0.1534,0.0527,0.1
U-Net (50 images),0.0613,0.1365,0.0379,0.09
Full Fine-Tuning (10 images),0.6836,0.1094,0.5293,0.1214
Full Fine-Tuning (20 images),0.7414,0.0948,0.5975,0.1118
Full Fine-Tuning (50 images),0.7715,0.0823,0.6348,0.1011
MedSAM (zero-shot),0.0018,0.0125,0.0009,0.0066
