Epoch 1 | Avg Dice Loss: 0.9915
Epoch 2 | Avg Dice Loss: 0.7929
Epoch 3 | Avg Dice Loss: 0.5155
Epoch 4 | Avg Dice Loss: 0.3696
Epoch 5 | Avg Dice Loss: 0.3020
Epoch 6 | Avg Dice Loss: 0.2553
Epoch 7 | Avg Dice Loss: 0.2395
Epoch 8 | Avg Dice Loss: 0.2343
Epoch 9 | Avg Dice Loss: 0.2179
Epoch 10 | Avg Dice Loss: 0.1908
Epoch 11 | Avg Dice Loss: 0.2003
Epoch 12 | Avg Dice Loss: 0.1753
Epoch 13 | Avg Dice Loss: 0.1697
Epoch 14 | Avg Dice Loss: 0.1604
Epoch 15 | Avg Dice Loss: 0.1538
Epoch 16 | Avg Dice Loss: 0.1602
Epoch 17 | Avg Dice Loss: 0.1373
Epoch 18 | Avg Dice Loss: 0.1412
Epoch 19 | Avg Dice Loss: 0.1503
Epoch 20 | Avg Dice Loss: 0.1542
