Epoch 1 | Avg Dice Loss: 0.9999
Epoch 2 | Avg Dice Loss: 0.9524
Epoch 3 | Avg Dice Loss: 0.4747
Epoch 4 | Avg Dice Loss: 0.3461
Epoch 5 | Avg Dice Loss: 0.3068
Epoch 6 | Avg Dice Loss: 0.2587
Epoch 7 | Avg Dice Loss: 0.2473
Epoch 8 | Avg Dice Loss: 0.2465
Epoch 9 | Avg Dice Loss: 0.2278
Epoch 10 | Avg Dice Loss: 0.2265
Epoch 11 | Avg Dice Loss: 0.2205
Epoch 12 | Avg Dice Loss: 0.2132
Epoch 13 | Avg Dice Loss: 0.2046
Epoch 14 | Avg Dice Loss: 0.2158
Epoch 15 | Avg Dice Loss: 0.2053
Epoch 16 | Avg Dice Loss: 0.1957
Epoch 17 | Avg Dice Loss: 0.1962
Epoch 18 | Avg Dice Loss: 0.1874
Epoch 19 | Avg Dice Loss: 0.1863
Epoch 20 | Avg Dice Loss: 0.1880
