image_id,pearson_corr,p_value,mean_uncertainty_error_pixels,mean_uncertainty_correct_pixels,error_pixel_count
16,0.3877846,0.0,0.0351912,8.967123e-05,1730
16,0.32491124,0.0,0.023946779,8.4149324e-05,1737
16,0.37628502,0.0,0.02909616,5.542368e-05,1055
16,0.26499543,0.0,0.01493116,4.6503425e-05,1488
16,0.39266852,0.0,0.034674846,9.730033e-05,1361
16,0.31955075,0.0,0.020803832,6.917809e-05,1709
24,0.39062884,0.0,0.024601832,3.3461e-05,809
24,0.28211287,0.0,0.014346256,4.2522126e-05,1367
24,0.21986568,0.0,0.010147617,4.352499e-05,1752
24,0.17345712,0.0,0.007894153,7.548806e-05,2989
24,0.293455,0.0,0.016423564,6.706632e-05,2205
24,0.35919127,0.0,0.0285124,7.5318014e-05,1270
24,0.2515757,0.0,0.02194574,0.0001295924,1549
27,0.3213728,0.0,0.031377476,0.00010559065,1000
28,0.23227903,0.0,0.010882936,3.203414e-05,1459
