Epoch 1 | Avg Dice Loss: 0.9719
Epoch 2 | Avg Dice Loss: 0.9622
Epoch 3 | Avg Dice Loss: 0.9525
Epoch 4 | Avg Dice Loss: 0.9445
Epoch 5 | Avg Dice Loss: 0.9311
Epoch 6 | Avg Dice Loss: 0.9309
Epoch 7 | Avg Dice Loss: 0.9254
Epoch 8 | Avg Dice Loss: 0.9143
Epoch 9 | Avg Dice Loss: 0.9213
Epoch 10 | Avg Dice Loss: 0.9085
Epoch 11 | Avg Dice Loss: 0.9063
Epoch 12 | Avg Dice Loss: 0.9245
Epoch 13 | Avg Dice Loss: 0.8923
Epoch 14 | Avg Dice Loss: 0.8671
Epoch 15 | Avg Dice Loss: 0.9107
Epoch 16 | Avg Dice Loss: 0.9552
Epoch 17 | Avg Dice Loss: 0.9169
Epoch 18 | Avg Dice Loss: 0.8760
Epoch 19 | Avg Dice Loss: 0.8656
Epoch 20 | Avg Dice Loss: 0.8503
Epoch 21 | Avg Dice Loss: 0.8660
Epoch 22 | Avg Dice Loss: 0.8621
Epoch 23 | Avg Dice Loss: 0.8390
Epoch 24 | Avg Dice Loss: 0.8528
Epoch 25 | Avg Dice Loss: 0.8364
Epoch 26 | Avg Dice Loss: 0.8333
Epoch 27 | Avg Dice Loss: 0.8218
Epoch 28 | Avg Dice Loss: 0.8324
Epoch 29 | Avg Dice Loss: 0.8077
Epoch 30 | Avg Dice Loss: 0.8086
Epoch 31 | Avg Dice Loss: 0.8019
Epoch 32 | Avg Dice Loss: 0.7872
Epoch 33 | Avg Dice Loss: 0.8036
Epoch 34 | Avg Dice Loss: 0.8102
Epoch 35 | Avg Dice Loss: 0.8131
Epoch 36 | Avg Dice Loss: 0.7996
Epoch 37 | Avg Dice Loss: 0.7866
Epoch 38 | Avg Dice Loss: 0.7916
Epoch 39 | Avg Dice Loss: 0.7830
Epoch 40 | Avg Dice Loss: 0.7823
Epoch 41 | Avg Dice Loss: 0.7773
Epoch 42 | Avg Dice Loss: 0.8011
Epoch 43 | Avg Dice Loss: 0.7711
Epoch 44 | Avg Dice Loss: 0.7780
Epoch 45 | Avg Dice Loss: 0.7730
Epoch 46 | Avg Dice Loss: 0.7572
Epoch 47 | Avg Dice Loss: 0.7529
Epoch 48 | Avg Dice Loss: 0.7505
Epoch 49 | Avg Dice Loss: 0.7747
Epoch 50 | Avg Dice Loss: 0.7438
